method,mean_accuracy,min_accuracy,max_accuracy,n_seeds,accuracy_seed_1,accuracy_seed_3,accuracy_seed_5,accuracy_seed_66,accuracy_seed_789,accuracy_seed_1145,accuracy_seed_2835396,accuracy_seed_18695,accuracy_seed_7723,accuracy_seed_114399,accuracy_seed_200,accuracy_seed_987654,accuracy_seed_2026,accuracy_seed_2027,accuracy_seed_2028,order_seed_1,order_seed_3,order_seed_5,order_seed_66,order_seed_789,order_seed_1145,order_seed_2835396,order_seed_18695,order_seed_7723,order_seed_114399,order_seed_200,order_seed_987654,order_seed_2026,order_seed_2027,order_seed_2028
spec_fusion_spec649_svc_c08_0.35,0.7158308751229104,0.6755162241887905,0.7699115044247787,15,0.7433628318584071,0.7256637168141593,0.7286135693215339,0.7079646017699115,0.6843657817109144,0.7699115044247787,0.7315634218289085,0.7138643067846607,0.696165191740413,0.7079646017699115,0.7138643067846607,0.7020648967551623,0.7197640117994101,0.7168141592920354,0.6755162241887905,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
spec_fusion_spec649_gpu_0.12,0.7156342182890856,0.6666666666666666,0.7640117994100295,15,0.7345132743362832,0.7197640117994101,0.7345132743362832,0.7138643067846607,0.6666666666666666,0.7640117994100295,0.7286135693215339,0.7109144542772862,0.6873156342182891,0.7020648967551623,0.7197640117994101,0.7138643067846607,0.7315634218289085,0.7256637168141593,0.6814159292035398,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
spec_fusion_spec649_log_c04_0.03,0.7156342182890856,0.6696165191740413,0.7640117994100295,15,0.7315634218289085,0.7227138643067846,0.7404129793510325,0.7079646017699115,0.6696165191740413,0.7640117994100295,0.7286135693215339,0.7050147492625368,0.696165191740413,0.7020648967551623,0.7168141592920354,0.7050147492625368,0.7256637168141593,0.7315634218289085,0.6873156342182891,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
spec_fusion_spec649_log_c08_0.28,0.7156342182890856,0.672566371681416,0.7581120943952803,15,0.7315634218289085,0.7286135693215339,0.7286135693215339,0.6902654867256637,0.672566371681416,0.7581120943952803,0.7463126843657817,0.7138643067846607,0.6814159292035398,0.6902654867256637,0.6843657817109144,0.7256637168141593,0.7256637168141593,0.7345132743362832,0.7227138643067846,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
spec_fusion_spec649_svc_c08_0.03,0.7156342182890856,0.6696165191740413,0.7610619469026548,15,0.7374631268436578,0.7109144542772862,0.7374631268436578,0.7109144542772862,0.6696165191740413,0.7610619469026548,0.7374631268436578,0.6991150442477876,0.696165191740413,0.7050147492625368,0.7197640117994101,0.7079646017699115,0.7227138643067846,0.7315634218289085,0.6873156342182891,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
spec_fusion_spec649_svc_c08_0.05,0.7156342182890856,0.6696165191740413,0.7610619469026548,15,0.7374631268436578,0.7109144542772862,0.7374631268436578,0.7138643067846607,0.6696165191740413,0.7610619469026548,0.7374631268436578,0.6991150442477876,0.696165191740413,0.7050147492625368,0.7168141592920354,0.7079646017699115,0.7227138643067846,0.7315634218289085,0.6873156342182891,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
spec_fusion_spec649_gpu_0.08,0.7154375614552606,0.672566371681416,0.7581120943952803,15,0.7374631268436578,0.7138643067846607,0.7374631268436578,0.7168141592920354,0.672566371681416,0.7581120943952803,0.7315634218289085,0.7050147492625368,0.6873156342182891,0.7079646017699115,0.7138643067846607,0.7109144542772862,0.7315634218289085,0.7256637168141593,0.6814159292035398,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
spec_fusion_spec649_log_c08_0.08,0.7154375614552605,0.672566371681416,0.7610619469026548,15,0.7315634218289085,0.7109144542772862,0.7433628318584071,0.7079646017699115,0.672566371681416,0.7610619469026548,0.7256637168141593,0.7079646017699115,0.696165191740413,0.696165191740413,0.7138643067846607,0.7168141592920354,0.7227138643067846,0.7286135693215339,0.696165191740413,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
spec_fusion_spec649_log_c04_0.08,0.7152409046214356,0.6696165191740413,0.7610619469026548,15,0.7315634218289085,0.7168141592920354,0.7404129793510325,0.7079646017699115,0.6696165191740413,0.7610619469026548,0.7286135693215339,0.7020648967551623,0.6991150442477876,0.7020648967551623,0.7138643067846607,0.7138643067846607,0.7227138643067846,0.7315634218289085,0.6873156342182891,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
spec_fusion_spec649_svc_c08_0.18,0.7152409046214356,0.672566371681416,0.7610619469026548,15,0.7404129793510325,0.7197640117994101,0.7315634218289085,0.7109144542772862,0.672566371681416,0.7610619469026548,0.7345132743362832,0.7079646017699115,0.696165191740413,0.7079646017699115,0.7109144542772862,0.7079646017699115,0.7197640117994101,0.7197640117994101,0.6873156342182891,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
